"Production_Budget_USD","Worldwide_Gross_USD"
1e+07,25697647
5952000,2120439
7e+06,201463574
5e+06,12232628
375000,29400000
32500000,572705079
3.9e+07,59950623
1e+07,29500000
3.6e+07,1.6e+08
1.5e+07,61400000
7e+06,1246141
1305000,909000
2.5e+07,44942821
1.5e+07,8921050
27500000,187500000
2.7e+07,21500000
1e+07,20766000
8e+06,589308
1.2e+07,39012241
3250000,20605209
3e+07,5564014
1.8e+07,8.7e+07
1500000,2300000
8200000,8e+07
9e+06,13075390
4500000,81198894
2600000,32980880
550000,5269990
1.5e+07,316300000
2.8e+07,333080271
8e+06,90815558
1.8e+07,26400000
2.7e+07,21300000
3e+07,295212467
1.1e+07,148168459
2.5e+07,5778353
1250000,4700000
8e+06,62599495
7500000,5142858
1800000,25504513
1.8e+07,51973029
1e+07,8801940
6400000,78019031
1.5e+07,15136870
4.8e+07,25928721
4.5e+07,27447471
27500000,27187653
3e+06,21163999
1500000,2730877
1.9e+07,385524862
1300000,210904
1e+07,3.3e+07
2200000,21930418
1e+07,35073978
1.8e+07,19739000
4.4e+07,300400000
3e+07,152627960
2e+06,1663296
2.7e+07,10618813
2.5e+07,11603545
17900000,6905861
6900000,41410568
3500000,34004262
1.2e+07,65532576
4e+06,14237880
1e+07,17536256
2.6e+07,33200000
1e+07,36230219
3e+06,11052713
7e+06,10803211
2e+07,18400000
3.1e+07,258210860
1.5e+07,93589701
1.5e+07,9930649
4e+07,6341825
2.5e+07,11100000
3e+07,16295774
3e+06,19472057
1.5e+07,1953732
1.8e+07,6734844
3.5e+07,2e+06
5e+06,12947763
2.5e+07,23506237
4500000,1500000
1.8e+07,1305114
1.5e+07,356800601
1.2e+07,4984663
4e+07,49851591
1.6e+07,12900000
3e+06,20966644
1.7e+07,183316455
8e+06,52287414
175000,7137502
4700000,8025872
1.7e+07,2315000
8800000,328203506
1.8e+07,41382841
1e+07,52293000
2.4e+07,1.33e+08
1.2e+07,79817937
3e+07,38747385
6e+06,137963328
2e+06,7369373
2600000,3147950
350000,4e+06
1e+05,5228617
1e+07,3e+06
3500000,1.4e+07
1.6e+07,14792779
5e+06,44793222
2.5e+07,76270454
3500000,5923044
4e+06,8e+05
1100000,1355728
4e+07,14375181
2e+07,276665036
1.5e+07,120192350
2.9e+07,25899797
22700000,38119483
2.3e+07,15728335
1.3e+07,53424681
1.7e+07,11227824
6500000,54215416
4e+07,191200000
8500000,32222567
1900000,4600000
1.4e+07,320100000
1e+06,14564000
1.5e+07,30857000
16500000,43848100
3e+07,38122000
2.5e+07,43988888
3e+06,7888000
1.5e+07,167780960
1.8e+07,98267558
1.3e+07,123922370
2.5e+07,16118077
5e+06,17768757
4e+06,3468572
6200000,9205924
1500000,11806119
1.8e+07,151668774
1.5e+07,73326666
4e+06,354704
4e+06,1.3e+07
4700000,1705139
2800000,19170001
5.8e+07,188715611
1.4e+07,239606210
7e+07,351500000
2.8e+07,139109346
3e+07,81613606
3e+06,7282851
1.3e+07,49369899
9e+06,44196684
1.6e+07,13854000
1.5e+07,216600000
9500000,14114000
6e+06,12793213
12300000,81972846
3.2e+07,59450353
7e+06,20257000
6e+06,14545844
1.3e+07,44726644
7e+06,8373585
2.5e+07,412800000
1.4e+07,34700000
1.5e+07,10763469
16400000,239500000
1e+07,40485039
1.8e+07,7190505
1200000,36741667
11500000,57469179
1e+07,30050028
4.8e+07,474171806
3.5e+07,411348924
6e+06,26004026
1.1e+07,49793054
4.2e+07,156167015
1.6e+07,92961960
5e+06,6157157
5e+06,14343976
1500000,14533681
9e+06,10176701
3e+07,70200000
7e+07,54243125
1.9e+07,58571513
3e+07,45892212
6e+06,11642254
6e+06,22168359
3e+07,95857262
4e+07,3.32e+08
1.8e+07,26593580
7500000,106593296
2e+07,10555348
1.4e+07,70001698
140000,6706368
5.5e+07,63408614
1600000,419428
