"Production_Budget_USD","Worldwide_Gross_USD"
3e+07,133946923
2e+07,18250106
1.9e+07,15911332
8.4e+07,166307945
3.3e+07,47267829
2.4e+07,27732366
9e+06,13061935
2500000,9598
1e+06,1179462
7.5e+07,213500000
6.5e+07,62761005
3.5e+07,33771965
1.5e+07,213514672
1e+07,83593107
3.5e+07,85911226
3e+06,38236338
1e+06,10037390
4e+07,30199105
2.3e+07,13019253
1e+07,90453550
40000,277233
103300000,232643008
5e+05,1167524
6e+07,47371191
3.5e+07,15471969
1.6e+07,6615452
225000,1032075
1.5e+07,38574362
12500000,45557491
8e+06,10192613
1e+06,12996
6e+06,20695413
3e+07,136706683
9e+06,3134509
1e+06,2022442
9e+07,1.06e+08
3.8e+07,58394308
8e+05,371647
3e+05,2652515
8e+07,58270391
8e+07,33463969
3.2e+07,82339483
1200000,10827356
2.8e+07,31320293
1.1e+07,13719474
9e+06,17804273
5e+06,109273197
3e+06,39852
4.8e+07,90376224
4e+07,55696705
2e+07,2282710
2e+06,11546543
6.5e+07,10014234
2.2e+07,13555988
1.5e+07,47721314
5250000,20097
42000,342722
6e+05,173599
5e+07,39778599
2e+07,96147688
1.3e+07,62452927
2e+05,1161843
5e+07,50054511
4e+07,90717684
4e+07,40435694
1e+07,1953882
6800000,927107
1.23e+08,345141403
8.2e+07,96024898
3.5e+07,53425292
3e+07,103284813
8.5e+07,66941559
73243106,248099143
13500000,11732088
9500000,59675307
7e+06,35795319
8e+07,29725663
1.8e+07,21361109
1.2e+07,6982680
8e+06,4714090
2e+06,2419669
1e+08,169296573
6.5e+07,374105123
2.5e+07,152500343
1.3e+07,73180297
6e+06,10557291
4.3e+07,80013623
1e+07,44567606
8.5e+07,427230516
8e+07,66554547
6e+07,124715863
4.5e+07,213420951
4.5e+07,18120267
2.8e+07,33000377
2.6e+07,75763814
1e+07,5149131
4e+06,75078
4.8e+07,208300000
1.3e+07,1375635
8e+06,8279017
3e+07,38462071
2.2e+07,55762229
4.5e+07,29406132
2.8e+07,94728529
18500000,4221341
1.4e+07,10397365
1e+07,20384136
4e+07,145238250
1.6e+07,43057552
13500000,892506
1.3e+07,3058380
1.15e+08,559757719
5.3e+07,54207112
4.9e+07,72689126
10350000,174201661
5e+05,7890
4e+07,65754228
3e+07,71172251
1e+07,44451470
7.5e+07,5409517
6.2e+07,18708848
9e+07,347425832
3e+07,165334774
2.6e+07,16521410
8.5e+07,96971293
3.3e+07,79958599
5e+06,39723096
250000,1366235
50000,2335352
3.8e+07,57753825
2.5e+07,5516708
6e+06,27958191
3.5e+07,197692062
2.3e+07,38684906
1.8e+07,27491653
1.1e+07,13558739
2e+06,20883834
9.8e+07,435040395
2e+06,76654
6e+07,200700000
4.5e+07,141189101
2.5e+07,281527158
2.5e+07,39393111
1.5e+07,14249005
1.05e+08,10364769
7.2e+07,54616869
8e+06,19585
5e+06,6755271
4.5e+07,104505362
2.8e+07,77477297
2.3e+07,21973182
1.2e+07,17292381
5.3e+07,179209685
5e+07,491812794
3.8e+07,29544532
151500000,449239855
4e+07,16172200
3e+07,83282296
2.8e+07,105159085
3e+06,68452128
1e+06,852206
2.5e+07,36833473
10000,94596
4300000,10158355
9.4e+07,273330185
1800000,3050934
7.2e+07,176101721
3.8e+07,206512310
1.6e+07,28734552
9e+07,235900000
1.3e+07,19929123
3500000,3293258
4e+07,27053815
3.8e+07,19317765
1.4e+07,4288246
1.3e+07,22391450
7e+05,1140965
8.5e+07,450728529
6e+06,1290920
1e+06,2684207
6.8e+07,113542091
1.8e+07,141809235
5e+06,5476060
2100000,1381824
9.3e+07,365900000
4.6e+07,160648493
1.2e+07,450594
6e+06,3747270
5500000,8761608
1e+08,362211740
4e+05,44452
9e+07,186049020
8e+07,147080413
8e+07,98341932
3e+06,9981635
1.5e+07,11919578
4.8e+07,50315140
5.7e+07,62097495
4.8e+07,86607223
3.5e+07,13601109
6500000,64148
1e+06,113433
2.8e+07,8434601
2.6e+07,18496522
2.2e+07,33762400
1.7e+07,19693891
1.3e+07,5002310
1e+07,58939035
5e+06,16017403
1e+06,17127
8.7e+07,350100280
2.2e+07,25873142
4.2e+07,56331864
1.2e+07,622273
1e+07,19860259
10000,673780
4e+07,70836296
3.5e+07,28906817
1e+05,1358
2.2e+07,22861785
2.1e+07,43728560
2.2e+07,6047691
8500000,4273372
5e+07,104488383
3.1e+07,30885781
2.8e+07,60780981
2e+06,1075504
7e+07,13596911
3e+07,286500000
1.7e+07,207765056
1500000,1619602
6e+07,20541668
4.7e+07,29781453
3.5e+07,68712365
1e+07,8378853
1.9e+07,68467960
1.8e+07,23889158
1e+07,4690802
1e+07,226792
4500000,7503672
2.2e+07,14252830
1.6e+07,30987695
7e+06,23393939
4.1e+07,100622586
1.37e+08,85131830
4e+06,10097096
1.25e+08,974755371
6e+06,2522928
9e+07,143049560
3.5e+07,33422806
1.1e+07,14786394
1e+06,3575308
1700000,42137871
4e+07,58855732
3.8e+07,623374
3e+07,17865209
2.4e+07,29823162
1.3e+07,122244329
7.5e+07,71523271
1.1e+07,25116103
7e+07,202726605
2.8e+07,71430876
1.5e+07,62401343
7e+06,4720371
5500000,15155021
1.09e+08,887210985
7.8e+07,317668058
7.2e+07,37306334
3.8e+07,24515990
2.5e+07,102992536
1.2e+07,31222395
1.09e+08,87683966
4.8e+07,70937778
3.5e+07,24405825
1.8e+07,41300105
4e+06,43766463
9.5e+07,159691085
2.2e+07,92542418
7500000,10834406
1.3e+07,8130727
1.1e+07,4814244
5e+05,1250798
7e+07,114658262
1.7e+07,95092667
160000,32092
7e+07,60279822
6.5e+07,172825854
3.2e+07,116898028
4.2e+07,56438555
4e+07,75389090
1.5e+07,1405032
1.1e+07,46060915
1e+07,17033556
70702619,408269295
1.6e+07,40363530
3e+06,19184820
2e+06,3438804
7e+07,33076815
3.6e+07,102226631
2e+07,109862682
1.2e+07,5.7e+07
1.2e+07,2326407
1200000,23046142
6e+07,82150183
6e+07,30063805
3.5e+07,30307804
4500000,92723
1200000,27025600
1100000,247740
1.39e+08,821706375
1.6e+07,14839383
1e+07,6244618
1.4e+08,441767803
3e+07,62432423
2.5e+07,16425701
1500000,9345061
8.5e+07,78948765
6.5e+07,386116343
3.5e+07,103787401
5e+06,33649881
5.4e+07,154338601
1.2e+07,12516222
1500000,119841
5e+07,8374062
4.8e+07,196308367
2.6e+07,38788828
2.2e+07,80491516
4e+07,7974607
7.8e+07,206455420
1.4e+07,25608779
1.2e+07,4606284
6e+07,165890634
5e+07,56643267
5e+06,374890034
1500000,12412889
4e+07,14448589
1.8e+07,676698
1.4e+07,16951798
4e+05,1600566
4.5e+07,8488871
4.2e+07,63781100
6e+06,39241323
6e+06,4316497
1.15e+08,656695615
2.7e+07,130759651
5500000,56653
1500000,1840248
1.5e+07,8378141
8e+07,106515310
4.6e+07,113622499
3.8e+07,50970660
3e+06,3705923
2100000,313436
6.8e+07,193500000
2.5e+07,40796145
4e+07,22433915
1e+07,34364995
3.5e+07,16830252
6e+07,54994757
2e+07,5345869
18500000,32531759
3500000,18495444
1.15e+08,77628265
8.4e+07,276294164
6e+07,214357371
1.2e+07,1779284
1.02e+08,358824714
8e+07,245800000
15600000,13771817
5600000,3281898
5e+07,171269535
1e+07,13684949
250000,4613482
7e+07,69157016
2.7e+07,73826768
3.8e+07,119721296
8e+06,16585503
3e+07,36722311
1.2e+08,1.66e+08
9e+07,65716126
3e+05,2066892
150000,3270128
6.3e+07,292738626
2e+07,16988996
8.5e+07,78353508
7e+07,25852508
1.5e+07,52461017
8e+07,98983590
1.4e+07,25873145
7500000,4239767
5e+07,119114494
4.1e+07,245768384
13500000,29027914
1e+08,7094995
3e+07,51618420
2.5e+07,14805812
1.2e+07,52223306
2.9e+07,20146150
2e+07,12398628
4e+07,13208023
7e+07,267200000
5e+07,26199517
8e+05,881950
2.5e+07,13973532
1.2e+07,77063461
9e+06,4777465
7500000,206400
7e+07,14294842
5.5e+07,1807990
3.5e+07,29882645
3e+07,6916869
1.9e+07,274949886
1e+07,38067218
8e+06,42376425
4e+06,9413956
6e+07,104429625
3.8e+07,182365114
2.1e+07,6830957
15300000,7e+06
950000,814666
1.3e+07,28972187
2e+05,174682
2e+05,162605
4.8e+07,248218486
2.7e+07,5204007
2.5e+07,12219367
7e+06,2703821
3e+06,7777790
2e+07,68349884
1.5e+07,22723
1.2e+07,56131239
9e+06,184255
5e+06,79282312
825000,1500711
1.8e+07,43308707
2.5e+07,24591031
2.1e+07,43928932
1.6e+07,21657770
1.5e+07,19344615
1.5e+07,12419700
1e+07,598645
8e+06,28315272
4e+06,11799060
3e+06,58240487
1e+08,878979634
2.5e+07,19233280
15500000,1693000
1800000,5719000
750000,47329
350000,9118
1.42e+08,431942139
2e+07,26348203
12500000,16193713
1e+07,33526835
1e+08,91800000
4.7e+07,14970038
4e+07,12624471
1.7e+07,16140842
7e+06,16866928
4.5e+07,66790248
4.3e+07,63078756
1.1e+07,19947280
8e+07,183354514
1.5e+07,37659652
12500000,33436931
5e+05,308793
6e+07,67312826
5.5e+07,163838217
3e+07,107054484
2e+07,56398162
1e+06,NA
9.4e+07,934699645
12500000,23367586
4500000,25344490
9.7e+07,183124621
6e+07,199043309
2.5e+07,60694737
7500000,11843260
6e+06,267194
5.2e+07,355612291
4.5e+07,31681811
3.5e+07,111854182
3e+07,306771047
2.5e+07,97030468
1e+07,1562800
4e+06,17639
1e+06,213137
2.9e+07,33013805
1.7e+08,433058296
5.5e+07,126425115
5.4e+07,7126002
6e+07,90723216
2e+07,17430594
3300000,32059295
1.4e+07,274299
7e+06,47289758
2.6e+07,90396664
1.1e+07,24150550
5e+05,1111615
3e+07,6460758
1.25e+08,407711549
1.5e+07,55534455
1e+07,1011054
1e+06,475367
6e+07,80767884
2.5e+07,125339088
8e+07,182782518
2e+07,140122225
7e+06,719699
1e+06,703020
5.5e+07,12923936
5e+07,28920188
2.4e+07,86765463
1.5e+07,12262065
2.5e+07,56434942
1e+07,1641788
4e+06,563711
5e+07,55489826
2e+07,131945303
5800000,421021
5500000,1060512
2500000,2013052
5e+05,9470209
103000,16137
5.5e+07,47213095
2.5e+07,58240458
2e+07,6882696
4500000,1022649
6.8e+07,75685268
1.5e+07,14933713
5900000,3895664
1200000,58936
8.5e+07,74132631
5e+07,42598498
35200000,38283765
8e+05,2900578
1200000,3700000
3.6e+07,43797731
2.5e+07,35990505
1.1e+07,97837138
3e+06,2255000
7800000,24021282
5.2e+07,23010607
9e+06,12657377
6e+06,18504539
2.8e+07,39134983
2e+07,71232214
1.5e+07,34499204
4500000,4556982
2.8e+07,82183683
2e+07,5694213
17500000,325491
1.5e+07,12212417
1.5e+07,220944
4e+06,3816594
3.5e+07,11559747
1.7e+07,23734486
1.5e+08,427300260
1.4e+08,456810575
1.8e+07,62646763
1100000,81371
1.5e+08,738576929
8.1e+07,484468608
9.4e+07,936429370
6e+07,176262839
1e+07,28649556
7.6e+07,236410607
5500000,6148823
4300000,39374600
2.6e+07,160822438
7.5e+07,50409753
3e+07,26214846
2.5e+07,55443032
7e+06,196067
5e+06,121016
1.37e+08,245229234
3e+07,15358583
1.2e+07,4922166
9e+06,454255
1.2e+08,227200000
8e+06,82955633
5e+07,178890782
5e+07,88316835
1750000,634803
7.5e+07,85632458
2e+07,164675402
6500000,6173485
5400000,8133256
4.5e+07,247950247
3.2e+07,220236410
1.3e+08,273271982
4.5e+07,163126676
1.6e+07,14108518
1e+07,14156753
2e+06,37227
7500000,555335
9e+07,157092943
8.6e+07,148715342
4e+07,167851995
1.5e+07,353743
4e+06,146402
7e+07,207154748
3e+07,156822020
2.6e+07,68613992
2.5e+07,114576403
2e+06,8685632
2e+06,9505996
4.1e+07,22108977
2e+07,1646664
1.4e+07,15549702
1e+06,839145
2.5e+07,119923801
5e+06,894030
5e+05,254293
6e+07,164285587
5e+06,25913869
1.25e+08,634954103
3e+07,47902566
2.2e+07,95708457
1.8e+07,13203044
1e+06,1492895
8.5e+07,80831893
4e+07,10070651
3.5e+07,32738814
1.8e+07,57490024
1.1e+07,4234355
2500000,12267275
1.9e+07,101564935
5e+05,13134
6e+07,121327628
5.5e+07,176469428
1.7e+07,45312217
7e+06,13767816
6e+06,181798
7e+07,123954323
1.7e+07,9438074
9e+06,107967319
3e+05,3571253
1.2e+07,23693646
6e+07,11427090
4.5e+07,155200000
3.5e+07,53293628
8e+06,524747
3e+06,10051516
6e+06,3456602
5.6e+07,195660942
7e+06,17005466
8e+05,58163
250000,3809226
7.8e+07,179265204
1900000,1445140
5e+05,19800
1.35e+08,212912137
8e+07,54540662
3e+05,7808524
1.09e+08,133818283
4e+07,141484812
2e+07,59667625
9e+07,155750628
8e+07,26703184
6.5e+07,38253433
1.8e+07,77147031
4e+06,11131455
2e+06,17403168
5600000,74566042
2.9e+07,97413527
4e+06,117085297
2e+06,1660865
1500000,30351664
8e+07,266685242
5.5e+07,63537164
2.7e+07,1545064
1.2e+07,43281552
9.4e+07,NA
6.5e+07,141205169
16500000,16157923
1e+07,93074616
1300000,90213
5e+06,64240813
1e+08,95255485
8e+07,165173909
6e+07,98819789
4e+07,190212113
1.5e+07,3396508
4e+06,63180
7000,NA
2.3e+07,19123851
7.5e+07,371917043
6e+07,102332848
2.2e+07,20034713
3e+06,6879730
4.2e+07,173044410
4e+07,46176322
1e+07,6491969
2.4e+07,16980098
1.3e+07,95638592
2e+06,15396525
5e+07,6626115
8e+06,50811858
850000,865708
5e+05,1971479
1.1e+08,76482461
6e+07,99823958
5.6e+07,47313824
3e+07,29356757
1e+07,42776032
2e+06,11234552
7.5e+07,196320329
3.9e+07,6429865
2.6e+07,14469428
2.5e+07,20718223
1.5e+07,33118854
10400000,1610194
2.5e+07,622341924
5e+07,40119848
8500000,7573551
6400000,79384539
5e+06,96760
3e+07,21577076
2e+07,16612072
1.6e+07,11540112
12500000,69826708
6700000,223878
3.5e+07,116177695
1.2e+07,92863945
2.8e+07,103452875
2e+07,72703462
2e+07,8361736
3.5e+07,77392139
3.5e+07,37066129
2.5e+07,181185387
2e+07,5918742
1.3e+08,796688549
5.5e+07,153535982
3.3e+07,54533774
2e+07,8047525
6e+07,130968579
3e+07,96439723
8500000,30298347
3400000,493905
3.2e+07,29948322
3e+07,16910708
2e+07,14566246
1.8e+07,130953026
1.7e+07,2694071
7.8e+07,108086731
6e+07,170200225
9.2e+07,614726752
4e+07,35195939
1.5e+08,484161265
9e+06,12512317
7e+07,937008132
1.25e+08,556319450
5e+07,49928680
1.6e+07,14553807
5e+06,10206551
10000,1987
2.8e+07,64474705
1.8e+07,65842412
1.8e+07,16959614
1.5e+07,5953886
4e+06,10941801
1e+05,110536
6e+07,217670152
3e+07,21758371
7500000,1788324
780000,1310470
5e+05,55518641
4e+05,1162014
1.1e+08,72004159
7.5e+07,218673959
3e+07,167791704
2e+07,111448997
6e+06,221148959
7.2e+07,62176754
3e+07,116025023
1.5e+07,18524496
2e+08,783705001
1.2e+07,31286759
1.7e+08,300150546
4e+07,21215882
8e+05,62544
65000,22233808
9e+07,203877963
1.05e+08,348629585
1.9e+07,70164105
4600000,3479302
3200000,14441158
1e+08,82145379
8.5e+07,288587450
6500000,1033810
2500000,36028802
8e+07,96148711
71682975,257641634
5.5e+07,28231444
9e+06,18225165
3e+07,61950770
1.5e+07,14811980
7000,841926
6.5e+07,132397389
7e+07,172543519
2e+07,28762690
7.8e+07,43957541
3e+07,65121280
5e+05,1348750
2.7e+07,8712564
2.5e+07,70326393
2e+07,9355369
1.7e+07,177535958
1e+07,630427
2.3e+07,12291975
1.2e+07,17322212
9.2e+07,23911362
3.5e+07,22913677
3e+07,26323969
2.5e+07,31635150
6800000,9533964
2.5e+07,89476265
1e+07,9408183
2600000,3292333
7e+07,49730854
3.5e+07,41666476
3e+07,21827296
1400000,56073
5e+07,117211892
4e+07,463730
3e+07,10419084
5e+06,30332385
1e+06,227241
5e+07,125168734
4.5e+07,61475984
2e+05,346106
1.1e+07,13353855
1.7e+08,319090241
1.1e+08,362989076
5e+07,34806726
2e+06,105377
4e+05,31425
4e+07,118097882
2e+07,50948811
1.8e+07,14488705
1e+07,70527
1.7e+07,109793192
1e+07,187281115
5e+06,8655397
2e+05,439651
4e+07,124823094
2e+07,14603001
1200000,103880027
1.2e+08,107212751
1e+08,96221971
5e+07,208094550
4e+05,46122713
4.5e+07,122071435
1e+08,331323410
3e+07,142051255
5e+06,40311842
1.55e+08,167297191
5e+07,96469187
7500000,3347647
5.5e+07,69759296
5500000,83529758
4e+07,92111551
2.6e+07,28703083
5.7e+07,38329114
5e+07,263894551
2.9e+07,24716190
2.5e+07,115036108
1.1e+07,13000959
7e+06,7017859
3e+07,231928227
1.1e+08,208370892
1e+08,212956024
7.5e+07,54344321
7.5e+07,34009180
2.4e+07,8292914
13300000,39686345
1e+07,290875
6e+07,516567575
5.5e+07,154017885
17500000,36521223
4.5e+07,48563556
10600000,34409206
3e+07,18765585
2.6e+07,63489752
4e+07,158527918
2.5e+07,41560117
4.5e+07,17492014
5500000,8589831
750000,229250
6.5e+07,56409722
4.5e+07,76665507
3e+07,89955540
3e+07,36040895
2e+07,98114471
425000,12604
2.5e+07,123696741
2e+07,8178569
5e+06,83356
70000,4930
8e+07,6300451
3.2e+07,88978458
2.5e+07,5654777
5.5e+07,53913573
1e+08,59918422
7.5e+07,221594911
1.5e+07,33508485
13500000,93631744
5e+07,22099706
3.5e+07,25114901
5500000,50458356
8.8e+07,105021488
2.5e+07,13424365
1e+06,3553253
5e+07,161941727
2.5e+07,25732334
2e+07,10468867
1e+06,3700
6e+07,101382396
3.5e+07,102115888
3500000,96793
3e+06,6239723
1500000,1126258
2.5e+07,38351350
2e+07,67192859
1.5e+07,47175038
7.5e+07,94944017
5.6e+07,198006880
28500000,15452978
4600000,3099369
7.2e+07,96947540
6e+07,310043823
1600000,3264
1500000,58692
18500000,109175673
2e+06,466106
2e+06,2226603
9e+07,162753837
2.5e+07,41921590
2.5e+07,4049527
2e+07,375474
15500000,517262
6e+07,71073932
4.5e+07,102746214
1400000,1261792
30000,82698
5.3e+07,109848461
1.2e+07,19287485
6800000,49526
5200000,1695126
1100,181041
3e+07,197593152
1500000,11191423
4.5e+07,155931301
4.5e+07,55842724
4.3e+07,49037621
2.7e+07,16566235
6500000,11745931
5e+05,9387581
1.15e+08,848998877
8.2e+07,190320568
7.5e+07,556559566
2500000,1269705
1.1e+08,218853353
3.5e+07,70064800
7303082,101173038
3e+05,10514
1.5e+08,359142722
1e+07,19535005
2e+06,9615464
1700000,4727375
5e+07,144110682
8e+07,131159306
18975000,47751015
3400000,133276359
1700000,661221
7e+05,4857731
1.32e+08,606836535
1e+07,92094360
1800000,1322161
2e+05,6260
2e+07,30491379
7e+06,56586901
1125000,18673274
2.5e+07,18991288
5000,1338
1.5e+08,475825484
4e+07,283218368
3e+05,87264
250000,237816
1.2e+08,163018913
3.5e+07,33500620
7e+06,20940428
2800000,23591783
250000,191862
1.38e+08,76416746
3.5e+07,83109359
3.5e+07,58405313
1.45e+08,121671925
4e+07,50071069
2e+07,102034104
87500000,330717080
6e+07,49473093
350000,1772979
3e+07,3252550
3.5e+07,64188387
2.6e+07,177344230
2.6e+07,96666486
8e+07,105299638
3e+07,27147991
9e+06,1069318
25500000,86301599
3e+07,18535575
2e+07,10393696
1.8e+07,144529078
2e+05,44701
4e+07,46666955
1.8e+08,720539572
8.5e+07,161510853
2e+07,27836366
13900000,177012173
1300000,329621
5.8e+07,100687083
4.2e+07,60437727
2.5e+07,881745
2e+07,8284331
4e+06,1919197
1e+06,15943081
1e+06,1549000
6.5e+07,26670920
5.5e+07,214392904
3.2e+07,61477797
3e+07,114770654
1e+07,17433072
8e+06,446438
1600000,129319
1500000,172569
5e+07,41982227
3.9e+07,40319440
2.5e+07,15468266
1.2e+07,994790
7e+06,49924079
4e+06,973613
3e+06,4655
1.1e+08,486124090
5e+07,69425966
2.7e+07,13174426
2.4e+07,237814327
2.4e+07,1696765
2850000,6435262
4e+05,NA
5.4e+07,50719373
5e+07,22969202
2.5e+07,1415656
1.8e+07,37048526
7e+07,54612337
3.2e+07,39498360
3e+07,23676771
1.5e+07,16829464
7500000,11758418
6500000,2025032
5e+05,4134
8e+07,141475336
2e+07,15466961
5e+06,152925093
5.5e+07,366784257
2e+07,55686944
7e+06,25269040
2e+06,691880
8e+07,260700012
7.5e+07,77636443
1.2e+07,28915761
6.5e+07,58545540
2.8e+07,126549607
2.2e+07,57520063
1.5e+08,896911078
2.9e+07,187707495
5e+07,92690959
4.5e+07,72359917
4e+07,31670620
2.2e+07,9448623
6e+07,10597070
4e+07,92256918
3e+07,92494381
2.2e+07,45273464
2.07e+08,550517357
1.5e+07,13454474
4.5e+07,32952995
1.8e+07,92357499
1.4e+08,203018919
6e+07,135015330
1.6e+07,2814566
7.5e+07,131492772
8e+06,19891331
7e+07,88933562
3e+07,26184400
1100000,29005064
1.5e+07,87973835
1e+07,17300838
1.5e+07,909822
2160000,37865
1.2e+07,43924923
5600000,7009668
2700000,31517561
2400000,500296
30000,103509
3.5e+07,46309644
1e+07,14321070
4.5e+07,43343247
3e+07,42799060
17500000,109843390
4.5e+07,113417762
1e+07,11924041
1e+06,16553163
4e+07,137047376
2.5e+07,128745578
14200000,543306
7900000,3129471
5300000,29197694
4750000,3061763
1600000,145382
5.2e+07,205727307
1.5e+07,11599903
1e+07,3260179
15000,195254
4e+05,2797199
4e+07,120455994
2e+07,85146165
4200000,33913542
3500000,113783
2e+07,28058652
1.7e+07,9729088
1e+07,63320521
3e+06,11537539
1.5e+07,67215435
4.5e+07,65595141
3e+07,30962112
2.2e+07,23134075
1.2e+07,22978953
3e+06,12051924
1.49e+08,179357126
1.8e+07,261443242
9400000,87226613
3700000,3355048
5e+07,130214162
2.5e+07,55279608
1.3e+07,2898225
7500000,40016662
3e+06,95204
5e+07,185798265
2e+07,23187506
1.7e+07,15680099
2900000,3127472
5e+05,602789
7.5e+07,651899282
7e+07,35417162
1.7e+07,21170563
15250000,12930343
2500000,497195
450000,4243996
4500000,23471871
7.3e+07,162870525
5.1e+07,118583844
8e+06,12740705
7e+06,57051053
4e+06,10770993
2e+06,1985292
8e+07,99010667
4e+07,178710620
950000,8267066
6e+07,78080697
5e+07,94704227
1.7e+07,16510971
1e+06,NA
5.5e+07,87524497
2e+07,30399714
1.8e+07,77635035
9600000,5256839
8e+06,18959424
3e+06,11322573
12000,1336
10000,138711
1.5e+08,397501348
3e+07,35869934
2e+07,5313608
1.5e+07,8224998
1.4e+07,30443277
8e+06,973443
9e+06,16235738
1.25e+08,767820459
8e+07,343397247
8e+06,18828036
1e+06,52769915
2.1e+08,459359555
7000,71644
2.5e+07,3605420
1.2e+07,196857
5e+06,6590172
4800000,82241110
2.5e+07,119295584
9e+07,289660619
1.6e+07,50517763
1.4e+07,14121177
1e+07,38364855
3e+06,252726
8.5e+07,157794205
6e+07,147985373
4e+07,114830111
3.2e+07,99296462
5e+05,3177636
82500000,237685089
1e+07,32430721
2e+06,5361
2.32e+08,374085065
2e+06,2077844
1e+06,1849392
250000,51540
3.5e+07,326073155
3.5e+07,65063726
3e+07,65390493
2.7e+07,55495466
6500000,18110152
3e+06,7301115
1300000,1738663
2.25e+08,NA
2e+07,7405084
1e+06,215559
6.4e+07,101636047
5.4e+07,130402010
1e+07,241719
5e+06,648183
7.5e+07,141267370
7.5e+07,72785169
3e+07,60772856
5e+06,27342246
2e+05,7033
8e+06,100642353
1.35e+08,163818556
4.5e+07,49610898
4e+06,40103262
2e+07,38164784
5700000,43044087
2e+06,759504
1e+08,171377916
8.5e+07,205190324
4e+07,121032272
2.5e+07,21970831
3.3e+07,62020814
16500000,83792062
9e+06,2548378
8e+06,143782
4e+07,58501127
17500000,20159316
1.5e+07,12669914
9e+05,381420
3e+05,399908
7e+07,461651246
1e+07,26716191
6.5e+07,163295654
6e+07,49238525
3e+07,41457834
2800000,475000
6e+07,14816379
5.5e+07,9521458
3.5e+07,19282590
1.8e+07,2401413
1.1e+07,85278712
6e+06,15137932
3200000,690872
6e+06,49155371
8.5e+07,191932158
7e+07,94973540
2e+07,17807569
1e+05,10243159
1.5e+07,128885873
8e+07,158926474
5e+07,71052604
5e+07,82751189
2.5e+07,112798051
2e+06,12667
6e+07,87123569
5e+07,128402901
1.7e+07,70355813
3.5e+07,42064105
3e+07,53572822
16800000,2281089
1.1e+07,6586324
6e+06,119452
2e+06,6225304
4e+07,20722450
2e+07,70743839
2e+07,41342180
2e+07,13725032
1.5e+07,22165608
1.3e+07,2613717
4700000,239962
350000,84689
5.3e+07,63657941
4e+07,104407366
4e+07,60862471
1.5e+07,21896367
1.2e+07,8706701
2e+07,132121212
1.4e+07,5782198
1e+07,163876815
3.5e+07,12506188
20500000,30241435
1.2e+07,110989157
10750000,32575443
3750000,1178175
7e+05,4911725
450000,1297745
1.02e+08,594420283
8.5e+07,385000317
1.4e+07,20597806
1.2e+07,5549923
4e+06,4630045
3700000,13447998
8e+07,181038616
5.1e+07,46815807
3.5e+07,15461638
9e+06,14443
8300000,24906717
3e+05,33312
1.6e+08,181674817
3.3e+07,27610873
2.8e+07,38159905
7e+06,463039
5e+06,4414753
1125000,414736
1e+08,249488115
82500000,143985708
7.5e+07,155708695
5.5e+07,307325633
3.2e+07,1308696
18900000,26063572
2.4e+07,156229050
19400000,15118795
1.3e+07,67867998
4.5e+07,76904429
6e+06,7818479
1.1e+08,579446407
6.5e+07,43545364
7.6e+07,69845011
27500000,50578411
63700000,133603463
3e+07,35891257
1.6e+07,87041569
3300000,19875
4.2e+07,83833602
1e+06,5382
5e+05,3e+06
27500000,219265952
9e+06,3922043
989000,8158
1e+06,844377
2e+07,86858578
1.7e+07,57263440
1.5e+07,6551310
3.9e+07,69538833
1.6e+07,53774833
7e+06,1661464
8.5e+07,83080084
6e+07,253555383
1.5e+07,10951153
1500000,22217183
1.51e+08,708272592
1.5e+08,287594577
1e+08,267985456
2.7e+07,9352089
4e+07,146300356
1.2e+08,229545589
2.5e+07,137984788
3.2e+07,77593167
1.3e+07,11141213
1e+07,21851362
3.5e+07,70187088
1.3e+08,442161562
2.5e+07,14334401
16500000,39380876
5250000,786677
5e+06,1375194
6e+06,26007
4e+07,79123
2e+07,81461343
1.4e+07,13205411
8300000,25670174
6e+07,95538560
3.5e+07,96096018
2e+07,20081987
1.5e+07,37466538
8400000,6831069
1300000,635305
6.1e+07,145594548
2.58e+08,890875303
5.5e+07,6521829
1.3e+07,5175088
1e+07,7037886
8e+06,414617
2e+07,118537627
15500000,1237615
750000,5520368
1.6e+07,81742618
10500000,14140402
10800000,2862544
7400000,9443864
4.7e+07,37923818
2.1e+07,43632609
2e+07,8135024
2400000,1420418
4e+07,62226214
1500000,194568
21500000,92987651
1.5e+07,22441
5e+05,53201
7e+06,231450102
150000,23344056
1.6e+08,807330936
1e+07,5950002
8e+06,127188
3e+08,963420425
4e+06,8302995
5.3e+07,50187789
2.5e+07,7164995
2.2e+07,27238354
1.2e+08,288215319
3e+07,7755686
2e+07,30703845
8e+06,456814
3e+05,70807
2e+05,1217
1.75e+08,174131329
22500000,131263370
1.5e+07,19153568
9e+06,36535837
4e+06,3858964
1.1e+08,382288147
1.5e+08,626549695
1900000,139317
4.8e+07,71171825
4e+07,7729552
1.1e+07,3231251
1e+07,900926
2e+06,1134358
1500000,240396
2.05e+08,367262558
3e+07,129779728
2600000,71248
8e+05,200433
8.5e+07,185708462
7.5e+07,203035572
4e+07,32030610
2380000,8739576
72500000,527071022
2.8e+07,91943956
21600000,791154
7e+06,5694308
2e+06,1433319
1e+08,145395745
8.5e+07,311744465
15500000,88611837
7500000,33606409
6e+06,18209872
8e+07,40147042
6.7e+07,25357771
2e+07,46790428
17500000,169955142
